Application ID,mohela_clid,Application_date,Loan Amount,Closing_date,Schedule_funding_date,Stage,Loan_Type,Term,Rate Type,Undiscounted Rate,disbursement_1,disbursement_1_date,disbursement_2,disbursement_2_date,disbursement_3,disbursement_3_date,disbursement_4,disbursement_4_date
220875,220875,05/03/2019,173161.27,05/16/2019,05/16/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220914,220914,05/03/2019,129049.86,06/11/2019,06/11/2019,Closed,Refi,15,Fixed,5.48,,,,,,,,
220958,220958,05/03/2019,44386.65,05/23/2019,05/23/2019,Closed,Refi,20,Variable,6,,,,,,,,
220971,220971,05/03/2019,117645.16,06/11/2019,06/11/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220824P2,220824P2,05/03/2019,169111.54,05/14/2019,05/14/2019,Closed,Refi,10,Fixed,4.88,,,,,,,,
220923,220923,05/03/2019,13895.51,05/15/2019,05/15/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220761,220761,05/03/2019,209983.93,05/14/2019,05/14/2019,Closed,Refi,10,Fixed,4.71,,,,,,,,
220787,220787,05/03/2019,11368.99,05/10/2019,05/10/2019,Closed,Refi,5,Fixed,4.92,,,,,,,,
220846,220846,05/03/2019,240178,05/16/2019,05/16/2019,Closed,Refi,15,Variable,4.9,,,,,,,,
220891,220891,05/03/2019,78997.34,05/13/2019,05/13/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220926,220926,05/03/2019,60070.82,05/20/2019,05/20/2019,Closed,Refi,15,Fixed,5.9,,,,,,,,
220804,220804,05/03/2019,87525.54,05/16/2019,05/16/2019,Closed,Refi,5,Fixed,3.75,,,,,,,,
220984,220984,05/04/2019,28400.99,05/10/2019,05/10/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
221007,221007,05/04/2019,13548.55,05/17/2019,05/17/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
221034P1,221034P1,05/04/2019,35000,05/15/2019,05/15/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221057,221057,05/04/2019,51556.41,05/16/2019,05/16/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221075,221075,05/04/2019,65629.3,06/04/2019,06/04/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
221095,221095,05/04/2019,42210.58,05/13/2019,05/13/2019,Closed,Refi,20,Variable,5.75,,,,,,,,
221005,221005,05/04/2019,86948.72,06/04/2019,06/04/2019,Closed,Refi,5,Fixed,4.71,,,,,,,,
221012,221012,05/04/2019,122401.8,05/15/2019,05/15/2019,Closed,Refi,10,Fixed,5.13,,,,,,,,
221019,221019,05/04/2019,25717.59,05/21/2019,05/21/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
221022,221022,05/04/2019,95309.49,05/10/2019,05/10/2019,Closed,Refi,15,Fixed,5.69,,,,,,,,
221032,221032,05/04/2019,69452.73,05/17/2019,05/17/2019,Closed,Refi,7,Fixed,4.5,,,,,,,,
221040,221040,05/04/2019,203711.07,05/21/2019,05/21/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221046,221046,05/04/2019,29948.75,07/18/2019,07/18/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221059,221059,05/04/2019,65248.33,05/15/2019,05/15/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221060,221060,05/04/2019,7333.25,06/27/2019,06/27/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221061,221061,05/04/2019,84046.55,06/05/2019,06/05/2019,Closed,Refi,20,Fixed,6.34,,,,,,,,
221067,221067,05/04/2019,14983.81,06/04/2019,06/04/2019,Closed,Refi,5,Fixed,4.5,,,,,,,,
221077,221077,05/04/2019,85733.49,06/10/2019,06/10/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221090,221090,05/04/2019,99519.02,06/06/2019,06/06/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
221091,221091,05/04/2019,31234.59,05/23/2019,05/23/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221099,221099,05/04/2019,19452.57,05/13/2019,05/13/2019,Closed,Refi,15,Fixed,6.11,,,,,,,,
221101,221101,05/04/2019,80284.86,06/07/2019,06/07/2019,Closed,Refi,15,Fixed,6.32,,,,,,,,
221108,221108,05/04/2019,77468,05/16/2019,05/16/2019,Closed,Refi,7,Fixed,4.5,,,,,,,,
221017,221017,05/04/2019,70115.88,05/16/2019,05/16/2019,Closed,Refi,20,Fixed,6.76,,,,,,,,
221034P2,221034P2,05/04/2019,73563.6,05/15/2019,05/15/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
220987,220987,05/04/2019,24918.79,06/04/2019,06/04/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221029,221029,05/04/2019,33442.78,05/17/2019,05/17/2019,Closed,Refi,7,Fixed,4.71,,,,,,,,
221065,221065,05/04/2019,59211.63,06/03/2019,06/03/2019,Closed,Refi,15,Fixed,6.32,,,,,,,,
221044,221044,05/04/2019,71836.01,05/16/2019,05/16/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221063,221063,05/04/2019,67381,05/17/2019,05/17/2019,Closed,Refi,15,Fixed,5.69,,,,,,,,
221082,221082,05/04/2019,250020.46,05/14/2019,05/14/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221129,221129,05/05/2019,31502.56,06/03/2019,06/03/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221140,221140,05/05/2019,132434.54,06/11/2019,06/11/2019,Closed,Refi,5,Fixed,3.75,,,,,,,,
221188,221188,05/05/2019,286351.91,05/10/2019,05/10/2019,Closed,Refi,7,Fixed,4.25,,,,,,,,
221190,221190,05/05/2019,153093.93,05/17/2019,05/17/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221227,221227,05/05/2019,6113.51,05/10/2019,05/10/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221240,221240,05/05/2019,37314.84,06/10/2019,06/10/2019,Closed,Refi,10,Fixed,4.71,,,,,,,,
221246,221246,05/05/2019,9884.53,05/22/2019,05/22/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
221261,221261,05/05/2019,153091.02,06/10/2019,06/10/2019,Closed,Refi,10,Fixed,5.13,,,,,,,,
221291,221291,05/05/2019,36101.08,06/05/2019,06/05/2019,Closed,Refi,20,Fixed,6.96,,,,,,,,
221308,221308,05/05/2019,93894.99,06/10/2019,06/10/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221318,221318,05/05/2019,20069.2,06/20/2019,06/20/2019,Closed,Refi,5,Fixed,4.5,,,,,,,,
221332,221332,05/05/2019,41791.26,06/05/2019,06/05/2019,Closed,Refi,10,Fixed,5.13,,,,,,,,
221340,221340,05/05/2019,68923.84,06/04/2019,06/04/2019,Closed,Refi,5,Fixed,3.75,,,,,,,,
221347,221347,05/05/2019,77493.82,06/06/2019,06/06/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
221294,221294,05/05/2019,36325.97,05/13/2019,05/13/2019,Closed,Refi,10,Fixed,5.13,,,,,,,,
221211P2,221211P2,05/05/2019,170088.07,05/28/2019,05/28/2019,Closed,Refi,10,Fixed,4.62,,,,,,,,
221136,221136,05/05/2019,263043.64,05/20/2019,05/20/2019,Closed,Refi,10,Fixed,4.92,,,,,,,,
221153,221153,05/05/2019,55746.91,06/11/2019,06/11/2019,Closed,Refi,20,Fixed,5.3,,,,,,,,
221156,221156,05/05/2019,82140.62,07/18/2019,07/18/2019,Closed,Refi,10,Fixed,4.71,,,,,,,,
221179,221179,05/05/2019,179782.63,06/05/2019,06/05/2019,Closed,Refi,7,Fixed,4.25,,,,,,,,
221174,221174,05/05/2019,147555.69,05/13/2019,05/13/2019,Closed,Refi,15,Fixed,5.27,,,,,,,,
221211P1,221211P1,05/05/2019,170088.06,05/28/2019,05/28/2019,Closed,Refi,10,Fixed,4.62,,,,,,,,
221217,221217,05/05/2019,270728.88,05/14/2019,05/14/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221258,221258,05/05/2019,94852.21,05/13/2019,05/13/2019,Closed,Refi,10,Fixed,4.71,,,,,,,,
221277,221277,05/05/2019,52610.06,05/21/2019,05/21/2019,Closed,Refi,20,Fixed,5.92,,,,,,,,
221281,221281,05/05/2019,50713.37,06/10/2019,06/10/2019,Closed,Refi,15,Fixed,5.27,,,,,,,,
221314,221314,05/05/2019,74037.48,05/23/2019,05/23/2019,Closed,Refi,7,Fixed,4.25,,,,,,,,
221319,221319,05/05/2019,45839.64,05/14/2019,05/14/2019,Closed,Refi,10,Fixed,4.92,,,,,,,,
221321,221321,05/05/2019,53402.55,06/21/2019,06/21/2019,Closed,Refi,7,Fixed,4.71,,,,,,,,
221327,221327,05/05/2019,153487.6,06/14/2019,06/14/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221329,221329,05/05/2019,102735.51,06/04/2019,06/04/2019,Closed,Refi,20,Variable,5.15,,,,,,,,
221335,221335,05/05/2019,23911.43,05/10/2019,05/10/2019,Closed,Refi,20,Variable,5.15,,,,,,,,
221120,221120,05/05/2019,18703.98,05/16/2019,05/16/2019,Closed,Refi,7,Fixed,4.5,,,,,,,,
221171,221171,05/05/2019,99821.12,06/12/2019,06/12/2019,Closed,Refi,7,Fixed,4.25,,,,,,,,
221197,221197,05/05/2019,32963.49,06/03/2019,06/03/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
221221,221221,05/05/2019,63546.45,05/22/2019,05/22/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
221244,221244,05/05/2019,38468.77,05/14/2019,05/14/2019,Closed,Refi,7,Fixed,4.5,,,,,,,,
221245,221245,05/05/2019,170547.45,05/13/2019,05/13/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
